id,category_id,block_number,block_code,block_text,version,uuid,category_name,created_at
1,1,1,1_1,Success,1,ac841676-01ad-4c33-b067-f1ba5986942b,Hopes,2025-10-06 07:18:52.410262
2,1,2,1_2,Future,1,567dc605-3515-445b-9a21-bb18db5d8094,Hopes,2025-10-06 07:18:52.440944
3,2,1,2_1,Dinner Table,1,4b2bae2a-da65-49fa-98c9-3c4543f82128,Home Life,2025-10-06 07:18:52.469122
4,2,2,2_2,Chores,1,f3e170a0-6292-44e7-8e22-984e736ae7c3,Home Life,2025-10-06 07:18:52.497807
5,2,3,2_3,Allowance,1,c9620814-e3d8-4067-a952-60e05667020e,Home Life,2025-10-06 07:18:52.526928
6,3,1,3_1,Conversation,1,ad021302-66f2-4c2e-b8ed-8d8648adf680,Communication,2025-10-06 07:18:52.554954
7,3,2,3_2,Conflict,1,7b91e32b-3185-4090-b77d-a168f464717e,Communication,2025-10-06 07:18:52.582822
8,3,3,3_3,Support,1,96f426b4-f10e-4111-b6e5-a5560e05514a,Communication,2025-10-06 07:18:52.610085
9,3,4,3_4,Trust,1,3d928ea4-ce89-41ff-b41d-e3f08b52ed5c,Communication,2025-10-06 07:18:52.638427
10,4,1,4_1,Talking About Mental Health,1,fabc58eb-c8d4-40df-b33a-bf4f67df7303,Mental Health,2025-10-06 07:18:52.668428
11,5,1,5_1,Love Advice,1,d3d6883b-8ebc-4c63-b44b-694c66279e55,Love,2025-10-06 07:18:52.696094
12,6,1,6_1,Friend Circle,1,9b08ccfe-4d32-4602-bdfe-b5600b7a7dbd,Friends,2025-10-06 07:18:52.723092
13,7,1,7_1,Screens in the House,1,eccde825-665d-42f5-a61a-628e6091b258,Online_Life,2025-10-06 07:18:52.750866
14,8,1,8_1,Feelings and Expectations,1,ff278bdf-20b6-412d-b6ce-ab72c99313b9,Parenting,2025-10-06 07:18:52.779185
15,8,2,8_2,Preparedness and Learning Curve,1,f08f896d-b052-4915-a04b-a162a8a54797,Parenting,2025-10-06 07:18:52.806370
16,8,3,8_3,Support and Resources,1,c78369e0-81cb-4d76-91bc-5911e4452b29,Parenting,2025-10-06 07:18:52.833781
17,8,4,8_4,Challenges and Disappointments,1,a78369e0-81cb-4c76-91bc-6911e4452b30,Parenting,2025-10-06 07:18:52.862327
